Date,Type,Category,Amount
2022-01-26,Income,Freelance,1793.15
2022-01-26,Expense,Transportation,277.14
2022-01-26,Expense,Transportation,272.76
2022-01-27,Income,Investments,526.31
2022-01-27,Expense,Transport,143.07
2022-01-27,Expense,Health,267.84
2022-01-27,Expense,Insurance,274.4
2022-01-27,Expense,Transportation,230.27
2022-01-27,Expense,Travel,37.74
2022-01-28,Income,Freelance,3379.21
2022-01-28,Expense,Utilities,54.74
2022-01-28,Expense,Transportation,298.31
2022-01-28,Expense,Health,228.6
2022-01-29,Income,Investments,4254.29
2022-01-29,Income,Salary,1480.48
2022-01-29,Expense,Transportation,189.77
2022-01-29,Expense,Education,10.37
2022-01-30,Income,Freelance,509.36
2022-01-30,Expense,Transport,8.77
2022-01-30,Expense,Utilities,39.59
2022-01-30,Expense,Transport,293.01
2022-01-30,Expense,Health,65.44
2022-01-31,Income,Rental Income,3988.85
2022-01-31,Expense,Transportation,58.6
2022-01-31,Expense,Entertainment,118.26
2022-02-01,Income,Rental Income,1435.05
2022-02-01,Expense,Subscriptions,151.51
2022-02-01,Expense,Shopping,26.28
2022-02-01,Expense,Other,16.47
2022-02-01,Expense,Food,156.6
2022-02-02,Income,Gifts,721.37
2022-02-02,Expense,Food,274.67
2022-02-02,Expense,Shopping,43.28
2022-02-02,Expense,Subscriptions,245.31
2022-02-03,Income,Investments,2153.31
2022-02-03,Income,Salary,1057.83
2022-02-03,Expense,Insurance,124.2
2022-02-03,Expense,Health,174.62
2022-02-03,Expense,Travel,239.17
2022-02-03,Expense,Utilities,87.58
2022-02-03,Expense,Other,156.88
2022-02-04,Income,Freelance,3473.08
2022-02-04,Expense,Transportation,54.55
2022-02-04,Expense,Bills,286.83
2022-02-04,Expense,Transportation,34.59
2022-02-05,Income,Freelance,4616.52
2022-02-05,Income,Salary,3667.26
2022-02-05,Expense,Transportation,232.16
2022-02-05,Expense,Transportation,161.35
2022-02-05,Expense,Transport,27.01
2022-02-06,Income,Investments,3823.24
2022-02-06,Expense,Transportation,283.23
2022-02-06,Expense,Subscriptions,172.34
2022-02-07,Income,Rental Income,3262.95
2022-02-07,Expense,Transport,168.08
2022-02-07,Expense,Shopping,254.16
2022-02-07,Expense,Transportation,66.86
2022-02-08,Income,Freelance,1827.63
2022-02-08,Expense,Bills,151.58
2022-02-08,Expense,Transportation,62.56
2022-02-08,Expense,Health,251.35
2022-02-08,Expense,Travel,181.35
2022-02-08,Expense,Travel,23.12
2022-02-09,Income,Investments,2643.26
2022-02-09,Expense,Health,259.75
2022-02-09,Expense,Insurance,250.41
2022-02-09,Expense,Shopping,70.33
2022-02-09,Expense,Subscriptions,262.79
2022-02-09,Expense,Transportation,18.58
2022-02-10,Income,Gifts,1408.03
2022-02-10,Income,Investments,4128.19
2022-02-10,Expense,Food,128.0
2022-02-10,Expense,Utilities,247.67
2022-02-11,Income,Investments,3192.15
2022-02-11,Expense,Entertainment,114.98
2022-02-11,Expense,Shopping,91.08
2022-02-11,Expense,Transport,294.66
2022-02-11,Expense,Other,119.35
2022-02-12,Income,Investments,2023.26
2022-02-12,Expense,Subscriptions,150.86
2022-02-12,Expense,Travel,12.86
2022-02-12,Expense,Utilities,283.49
2022-02-13,Income,Investments,558.69
2022-02-13,Income,Gifts,4966.03
2022-02-13,Expense,Food,269.34
2022-02-13,Expense,Transport,5.4
2022-02-13,Expense,Transportation,91.25
2022-02-13,Expense,Bills,122.5
2022-02-13,Expense,Utilities,227.34
2022-02-14,Income,Investments,3254.59
2022-02-14,Expense,Transport,243.66
2022-02-14,Expense,Transportation,58.29
2022-02-14,Expense,Transportation,14.28
2022-02-14,Expense,Other,286.55
2022-02-14,Expense,Insurance,237.71
2022-02-15,Income,Gifts,4150.31
2022-02-15,Expense,Utilities,226.71
2022-02-15,Expense,Bills,125.99
2022-02-15,Expense,Other,15.31
2022-02-15,Expense,Transport,298.22
2022-02-15,Expense,Food,125.06
2022-02-16,Income,Investments,4350.19
2022-02-16,Expense,Travel,18.11
2022-02-16,Expense,Insurance,166.82
2022-02-16,Expense,Bills,104.47
2022-02-17,Income,Salary,2386.13
2022-02-17,Income,Gifts,2651.67
2022-02-17,Expense,Subscriptions,18.22
2022-02-17,Expense,Transportation,79.4
2022-02-17,Expense,Utilities,117.69
2022-02-18,Income,Rental Income,721.61
2022-02-18,Expense,Health,276.08
2022-02-18,Expense,Bills,129.54
2022-02-18,Expense,Transportation,182.96
2022-02-18,Expense,Transport,193.63
2022-02-18,Expense,Education,197.0
2022-02-19,Income,Gifts,2739.76
2022-02-19,Income,Investments,654.67
2022-02-19,Expense,Health,195.92
2022-02-19,Expense,Entertainment,297.83
2022-02-20,Income,Rental Income,4975.94
2022-02-20,Income,Gifts,4891.84
2022-02-20,Expense,Subscriptions,79.49
2022-02-20,Expense,Transportation,150.94
2022-02-21,Income,Salary,1628.31
2022-02-21,Expense,Entertainment,99.4
2022-02-21,Expense,Entertainment,23.67
2022-02-21,Expense,Other,263.43
2022-02-21,Expense,Health,47.71
2022-02-22,Income,Rental Income,4690.52
2022-02-22,Income,Gifts,4202.72
2022-02-22,Expense,Education,134.45
2022-02-22,Expense,Food,69.91
2022-02-23,Income,Gifts,2153.21
2022-02-23,Expense,Insurance,44.86
2022-02-23,Expense,Utilities,19.76
2022-02-23,Expense,Transport,39.98
2022-02-23,Expense,Transport,251.9
2022-02-23,Expense,Entertainment,57.94
2022-02-24,Income,Investments,3639.32
2022-02-24,Income,Rental Income,997.92
2022-02-24,Expense,Bills,232.81
2022-02-24,Expense,Education,117.15
2022-02-24,Expense,Insurance,234.79
2022-02-24,Expense,Health,201.46
2022-02-25,Income,Rental Income,2568.44
2022-02-25,Expense,Entertainment,129.77
2022-02-25,Expense,Utilities,239.13
2022-02-25,Expense,Education,296.44
2022-02-25,Expense,Shopping,41.82
2022-02-26,Income,Salary,4877.91
2022-02-26,Income,Freelance,3901.63
2022-02-26,Expense,Entertainment,186.74
2022-02-26,Expense,Insurance,163.76
2022-02-27,Income,Gifts,1653.21
2022-02-27,Income,Investments,4066.37
2022-02-27,Expense,Education,21.07
2022-02-27,Expense,Bills,164.41
2022-02-27,Expense,Shopping,105.29
2022-02-27,Expense,Education,201.27
2022-02-28,Income,Freelance,541.65
2022-02-28,Income,Freelance,3887.98
2022-02-28,Expense,Health,106.2
2022-02-28,Expense,Education,207.11
2022-02-28,Expense,Shopping,263.33
2022-02-28,Expense,Health,75.96
2022-03-01,Income,Rental Income,4916.69
2022-03-01,Income,Gifts,3226.33
2022-03-01,Expense,Shopping,194.0
2022-03-01,Expense,Subscriptions,270.79
2022-03-01,Expense,Subscriptions,57.08
2022-03-02,Income,Investments,2403.44
2022-03-02,Expense,Transportation,29.27
2022-03-02,Expense,Subscriptions,195.98
2022-03-03,Income,Investments,117.2
2022-03-03,Expense,Food,286.74
2022-03-03,Expense,Subscriptions,65.26
2022-03-04,Income,Rental Income,4271.9
2022-03-04,Income,Gifts,2230.6
2022-03-04,Expense,Other,117.09
2022-03-04,Expense,Travel,79.02
2022-03-05,Income,Rental Income,3934.26
2022-03-05,Income,Salary,3966.99
2022-03-05,Expense,Utilities,111.22
2022-03-05,Expense,Health,274.19
2022-03-06,Income,Gifts,2261.3
2022-03-06,Expense,Insurance,160.25
2022-03-06,Expense,Transportation,154.39
2022-03-07,Income,Salary,4820.17
2022-03-07,Income,Salary,2827.06
2022-03-07,Expense,Utilities,23.1
2022-03-07,Expense,Transport,84.51
2022-03-07,Expense,Other,40.8
2022-03-07,Expense,Entertainment,9.53
2022-03-08,Income,Salary,1597.49
2022-03-08,Expense,Utilities,153.91
2022-03-08,Expense,Travel,22.77
2022-03-08,Expense,Health,204.35
2022-03-08,Expense,Utilities,127.16
2022-03-08,Expense,Other,234.63
2022-03-09,Income,Freelance,2756.36
2022-03-09,Income,Freelance,4137.14
2022-03-09,Expense,Insurance,270.46
2022-03-09,Expense,Other,94.67
2022-03-09,Expense,Insurance,158.51
2022-03-09,Expense,Food,82.09
2022-03-09,Expense,Transport,102.71
2022-03-10,Income,Rental Income,2391.35
2022-03-10,Expense,Food,263.63
2022-03-10,Expense,Transportation,180.08
2022-03-10,Expense,Shopping,299.08
2022-03-11,Income,Salary,494.24
2022-03-11,Expense,Travel,174.12
2022-03-11,Expense,Health,112.54
2022-03-11,Expense,Entertainment,236.29
2022-03-12,Income,Freelance,1139.04
2022-03-12,Expense,Shopping,200.49
2022-03-12,Expense,Travel,218.72
2022-03-12,Expense,Health,190.86
2022-03-13,Income,Investments,4186.84
2022-03-13,Income,Rental Income,3505.53
2022-03-13,Expense,Utilities,246.98
2022-03-13,Expense,Transport,271.98
2022-03-13,Expense,Travel,283.12
2022-03-14,Income,Rental Income,4545.86
2022-03-14,Income,Salary,1565.71
2022-03-14,Expense,Transport,91.79
2022-03-14,Expense,Bills,187.59
2022-03-15,Income,Investments,3728.9
2022-03-15,Expense,Insurance,248.54
2022-03-15,Expense,Transportation,134.82
2022-03-15,Expense,Insurance,23.05
2022-03-15,Expense,Insurance,125.44
2022-03-16,Income,Rental Income,4365.54
2022-03-16,Income,Salary,2774.9
2022-03-16,Expense,Food,21.48
2022-03-16,Expense,Education,269.07
2022-03-16,Expense,Insurance,91.7
2022-03-16,Expense,Other,248.34
2022-03-17,Income,Rental Income,3711.8
2022-03-17,Expense,Shopping,188.32
2022-03-17,Expense,Health,173.89
2022-03-17,Expense,Food,269.03
2022-03-17,Expense,Education,197.44
2022-03-17,Expense,Other,139.7
2022-03-18,Income,Investments,1488.76
2022-03-18,Income,Rental Income,545.33
2022-03-18,Expense,Transportation,7.65
2022-03-18,Expense,Shopping,34.41
2022-03-18,Expense,Food,148.64
2022-03-19,Income,Rental Income,2689.84
2022-03-19,Income,Investments,1412.31
2022-03-19,Expense,Education,138.73
2022-03-19,Expense,Entertainment,169.16
2022-03-19,Expense,Utilities,277.52
2022-03-20,Income,Rental Income,3835.32
2022-03-20,Expense,Bills,127.58
2022-03-20,Expense,Education,297.08
2022-03-20,Expense,Shopping,224.52
2022-03-20,Expense,Subscriptions,196.89
2022-03-20,Expense,Bills,290.87
2022-03-21,Income,Salary,1873.99
2022-03-21,Income,Investments,1043.26
2022-03-21,Expense,Shopping,71.44
2022-03-21,Expense,Bills,223.14
2022-03-21,Expense,Bills,212.69
2022-03-21,Expense,Shopping,79.51
2022-03-21,Expense,Transportation,124.9
2022-03-22,Income,Investments,1243.86
2022-03-22,Income,Rental Income,921.2
2022-03-22,Expense,Transport,124.04
2022-03-22,Expense,Shopping,127.02
2022-03-22,Expense,Transportation,252.76
2022-03-23,Income,Gifts,1828.64
2022-03-23,Income,Gifts,3519.01
2022-03-23,Expense,Bills,157.53
2022-03-23,Expense,Travel,193.71
2022-03-23,Expense,Insurance,192.02
2022-03-24,Income,Investments,794.69
2022-03-24,Income,Investments,3091.09
2022-03-24,Expense,Transportation,291.08
2022-03-24,Expense,Bills,146.8
2022-03-25,Income,Salary,4045.0
2022-03-25,Expense,Health,213.09
2022-03-25,Expense,Shopping,215.31
2022-03-26,Income,Gifts,102.69
2022-03-26,Income,Freelance,2766.15
2022-03-26,Expense,Entertainment,33.0
2022-03-26,Expense,Bills,123.79
2022-03-26,Expense,Utilities,94.82
2022-03-26,Expense,Education,224.44
2022-03-27,Income,Investments,2269.59
2022-03-27,Expense,Travel,38.66
2022-03-27,Expense,Food,18.66
2022-03-27,Expense,Other,52.8
2022-03-27,Expense,Travel,288.9
2022-03-28,Income,Salary,187.22
2022-03-28,Expense,Transport,109.46
2022-03-28,Expense,Transport,174.83
2022-03-29,Income,Rental Income,680.96
2022-03-29,Expense,Other,276.71
2022-03-29,Expense,Education,114.95
2022-03-29,Expense,Subscriptions,70.29
2022-03-29,Expense,Subscriptions,208.61
2022-03-30,Income,Freelance,916.33
2022-03-30,Income,Investments,3615.97
2022-03-30,Expense,Transport,98.54
2022-03-30,Expense,Travel,102.41
2022-03-30,Expense,Utilities,271.63
2022-03-30,Expense,Subscriptions,226.09
2022-03-30,Expense,Travel,108.14
2022-03-31,Income,Gifts,4319.99
2022-03-31,Income,Salary,2667.79
2022-03-31,Expense,Bills,232.63
2022-03-31,Expense,Entertainment,139.26
2022-04-01,Income,Gifts,3925.08
2022-04-01,Income,Freelance,219.9
2022-04-01,Expense,Insurance,57.87
2022-04-01,Expense,Food,17.57
2022-04-01,Expense,Transport,185.0
2022-04-02,Income,Gifts,1456.0
2022-04-02,Expense,Transport,24.19
2022-04-02,Expense,Health,192.63
2022-04-02,Expense,Bills,119.22
2022-04-02,Expense,Bills,279.43
2022-04-03,Income,Investments,1298.27
2022-04-03,Expense,Travel,155.61
2022-04-03,Expense,Bills,251.08
2022-04-03,Expense,Transport,213.95
2022-04-03,Expense,Insurance,231.11
2022-04-03,Expense,Subscriptions,228.94
2022-04-04,Income,Salary,121.48
2022-04-04,Income,Gifts,831.36
2022-04-04,Expense,Health,74.63
2022-04-04,Expense,Entertainment,198.75
2022-04-05,Income,Gifts,3305.8
2022-04-05,Income,Gifts,3576.37
2022-04-05,Expense,Transportation,51.04
2022-04-05,Expense,Travel,222.48
2022-04-05,Expense,Transportation,166.87
2022-04-06,Income,Rental Income,900.68
2022-04-06,Expense,Insurance,48.61
2022-04-06,Expense,Entertainment,40.23
2022-04-06,Expense,Subscriptions,234.56
2022-04-07,Income,Gifts,1327.71
2022-04-07,Income,Freelance,1094.26
2022-04-07,Expense,Transportation,63.57
2022-04-07,Expense,Education,230.14
2022-04-07,Expense,Entertainment,103.23
2022-04-07,Expense,Transportation,41.02
2022-04-07,Expense,Travel,198.54
2022-04-08,Income,Freelance,352.35
2022-04-08,Expense,Education,248.46
2022-04-08,Expense,Food,176.29
2022-04-08,Expense,Transportation,217.52
2022-04-08,Expense,Food,49.63
2022-04-08,Expense,Other,26.78
2022-04-09,Income,Rental Income,2751.43
2022-04-09,Income,Rental Income,3932.46
2022-04-09,Expense,Other,200.74
2022-04-09,Expense,Transport,30.31
2022-04-09,Expense,Travel,266.02
2022-04-10,Income,Freelance,1244.99
2022-04-10,Income,Salary,3071.84
2022-04-10,Expense,Bills,251.46
2022-04-10,Expense,Health,158.26
2022-04-10,Expense,Transport,145.39
2022-04-11,Income,Salary,1215.18
2022-04-11,Expense,Transport,294.89
2022-04-11,Expense,Travel,98.53
2022-04-11,Expense,Other,154.53
2022-04-11,Expense,Transport,106.52
2022-04-12,Income,Gifts,873.74
2022-04-12,Expense,Shopping,187.14
2022-04-12,Expense,Bills,143.13
2022-04-12,Expense,Other,262.3
2022-04-13,Income,Salary,3083.91
2022-04-13,Expense,Transportation,277.23
2022-04-13,Expense,Bills,134.2
2022-04-13,Expense,Food,211.82
2022-04-14,Income,Gifts,4456.96
2022-04-14,Income,Rental Income,2633.91
2022-04-14,Expense,Transportation,286.4
2022-04-14,Expense,Education,74.96
2022-04-14,Expense,Transport,132.47
2022-04-14,Expense,Entertainment,70.9
2022-04-15,Income,Investments,341.27
2022-04-15,Expense,Food,264.78
2022-04-15,Expense,Food,58.39
2022-04-15,Expense,Other,118.08
2022-04-16,Income,Rental Income,1941.01
2022-04-16,Expense,Utilities,77.23
2022-04-16,Expense,Health,113.02
2022-04-16,Expense,Transport,61.35
2022-04-17,Income,Gifts,4987.02
2022-04-17,Expense,Transportation,117.34
2022-04-17,Expense,Transportation,273.64
2022-04-17,Expense,Shopping,55.86
2022-04-17,Expense,Education,168.07
2022-04-17,Expense,Bills,58.86
2022-04-18,Income,Gifts,2180.1
2022-04-18,Income,Investments,3621.75
2022-04-18,Expense,Food,47.69
2022-04-18,Expense,Education,60.99
2022-04-18,Expense,Entertainment,296.48
2022-04-18,Expense,Utilities,45.66
2022-04-18,Expense,Bills,233.23
2022-04-19,Income,Rental Income,2176.58
2022-04-19,Income,Gifts,477.65
2022-04-19,Expense,Bills,59.14
2022-04-19,Expense,Subscriptions,166.66
2022-04-19,Expense,Transport,270.55
2022-04-20,Income,Salary,4333.36
2022-04-20,Income,Rental Income,2814.31
2022-04-20,Expense,Shopping,224.21
2022-04-20,Expense,Education,155.48
2022-04-21,Income,Salary,1296.59
2022-04-21,Expense,Transport,279.57
2022-04-21,Expense,Utilities,35.98
2022-04-21,Expense,Food,80.21
2022-04-21,Expense,Travel,121.9
2022-04-21,Expense,Subscriptions,57.55
2022-04-22,Income,Investments,3201.74
2022-04-22,Expense,Travel,98.65
2022-04-22,Expense,Transport,65.65
2022-04-22,Expense,Bills,276.45
2022-04-22,Expense,Bills,83.76
2022-04-23,Income,Freelance,3937.53
2022-04-23,Expense,Transport,298.05
2022-04-23,Expense,Health,101.43
2022-04-23,Expense,Travel,213.73
2022-04-23,Expense,Insurance,241.58
2022-04-24,Income,Gifts,1794.73
2022-04-24,Income,Freelance,3216.73
2022-04-24,Expense,Subscriptions,13.56
2022-04-24,Expense,Other,170.84
2022-04-24,Expense,Transport,166.47
2022-04-24,Expense,Bills,263.84
2022-04-25,Income,Freelance,3435.56
2022-04-25,Expense,Education,264.6
2022-04-25,Expense,Shopping,269.96
2022-04-25,Expense,Education,96.62
2022-04-25,Expense,Food,58.2
2022-04-25,Expense,Shopping,104.0
2022-04-26,Income,Salary,673.59
2022-04-26,Expense,Utilities,71.97
2022-04-26,Expense,Bills,101.61
2022-04-26,Expense,Entertainment,113.57
2022-04-27,Income,Gifts,373.49
2022-04-27,Income,Investments,2407.75
2022-04-27,Expense,Utilities,179.96
2022-04-27,Expense,Subscriptions,50.02
2022-04-27,Expense,Food,117.21
2022-04-27,Expense,Transport,132.91
2022-04-28,Income,Investments,359.29
2022-04-28,Expense,Food,78.68
2022-04-28,Expense,Insurance,8.72
2022-04-28,Expense,Health,246.94
2022-04-28,Expense,Transport,102.97
2022-04-28,Expense,Utilities,74.51
2022-04-29,Income,Investments,3969.32
2022-04-29,Expense,Insurance,129.23
2022-04-29,Expense,Transport,188.26
2022-04-30,Income,Investments,951.92
2022-04-30,Expense,Bills,145.84
2022-04-30,Expense,Other,179.69
2022-04-30,Expense,Health,121.08
2022-04-30,Expense,Other,232.55
2022-04-30,Expense,Entertainment,275.9
2022-05-01,Income,Investments,1287.48
2022-05-01,Expense,Bills,74.63
2022-05-01,Expense,Subscriptions,199.31
2022-05-01,Expense,Transport,166.69
2022-05-01,Expense,Utilities,118.3
2022-05-02,Income,Gifts,1201.94
2022-05-02,Income,Freelance,1528.52
2022-05-02,Expense,Other,147.48
2022-05-02,Expense,Transportation,7.56
2022-05-02,Expense,Utilities,250.25
2022-05-03,Income,Salary,2832.32
2022-05-03,Income,Gifts,913.26
2022-05-03,Expense,Other,18.02
2022-05-03,Expense,Food,104.78
2022-05-03,Expense,Utilities,139.48
2022-05-03,Expense,Subscriptions,130.57
2022-05-03,Expense,Transport,25.81
2022-05-04,Income,Investments,2781.98
2022-05-04,Expense,Transport,296.21
2022-05-04,Expense,Education,103.61
2022-05-04,Expense,Bills,283.98
2022-05-05,Income,Rental Income,926.22
2022-05-05,Expense,Utilities,239.37
2022-05-05,Expense,Transport,142.44
2022-05-05,Expense,Food,100.82
2022-05-05,Expense,Insurance,26.11
2022-05-06,Income,Investments,1986.53
2022-05-06,Expense,Transport,81.64
2022-05-06,Expense,Transport,53.93
2022-05-06,Expense,Education,216.78
2022-05-06,Expense,Transport,40.68
2022-05-06,Expense,Shopping,103.92
2022-05-07,Income,Salary,812.98
2022-05-07,Income,Salary,577.72
2022-05-07,Expense,Subscriptions,283.7
2022-05-07,Expense,Transport,141.88
2022-05-07,Expense,Food,142.53
2022-05-08,Income,Investments,2525.71
2022-05-08,Expense,Transportation,122.38
2022-05-08,Expense,Bills,125.6
2022-05-08,Expense,Food,150.8
2022-05-09,Income,Gifts,3099.78
2022-05-09,Income,Gifts,851.65
2022-05-09,Expense,Shopping,145.17
2022-05-09,Expense,Transportation,124.22
2022-05-09,Expense,Shopping,187.09
2022-05-09,Expense,Entertainment,29.94
2022-05-10,Income,Gifts,2648.1
2022-05-10,Income,Rental Income,1737.26
2022-05-10,Expense,Bills,123.45
2022-05-10,Expense,Entertainment,88.67
2022-05-11,Income,Gifts,2075.6
2022-05-11,Income,Freelance,2728.23
2022-05-11,Expense,Other,106.77
2022-05-11,Expense,Utilities,230.59
2022-05-11,Expense,Subscriptions,268.25
2022-05-12,Income,Rental Income,512.41
2022-05-12,Expense,Transportation,140.8
2022-05-12,Expense,Travel,269.43
2022-05-13,Income,Salary,412.88
2022-05-13,Expense,Bills,230.1
2022-05-13,Expense,Transportation,84.42
2022-05-13,Expense,Entertainment,263.31
2022-05-13,Expense,Other,14.97
2022-05-13,Expense,Entertainment,298.04
2022-05-14,Income,Salary,1981.18
2022-05-14,Expense,Insurance,287.33
2022-05-14,Expense,Travel,8.89
2022-05-15,Income,Rental Income,1114.37
2022-05-15,Expense,Transportation,180.85
2022-05-15,Expense,Food,36.11
2022-05-15,Expense,Education,126.49
2022-05-15,Expense,Utilities,135.91
2022-05-15,Expense,Utilities,166.41
2022-05-16,Income,Gifts,1959.57
2022-05-16,Income,Salary,1558.67
2022-05-16,Expense,Bills,168.61
2022-05-16,Expense,Shopping,110.36
2022-05-16,Expense,Health,8.6
2022-05-17,Income,Salary,3294.6
2022-05-17,Income,Freelance,1490.13
2022-05-17,Expense,Other,45.59
2022-05-17,Expense,Other,201.63
2022-05-18,Income,Salary,1155.38
2022-05-18,Income,Rental Income,2017.34
2022-05-18,Expense,Travel,248.58
2022-05-18,Expense,Utilities,113.95
2022-05-19,Income,Investments,2212.87
2022-05-19,Income,Rental Income,3358.36
2022-05-19,Expense,Entertainment,70.91
2022-05-19,Expense,Travel,132.03
2022-05-19,Expense,Insurance,240.13
2022-05-20,Income,Gifts,878.68
2022-05-20,Income,Gifts,3668.41
2022-05-20,Expense,Education,24.8
2022-05-20,Expense,Other,189.22
2022-05-20,Expense,Entertainment,276.97
2022-05-21,Income,Freelance,1105.33
2022-05-21,Expense,Utilities,52.65
2022-05-21,Expense,Other,168.74
2022-05-21,Expense,Entertainment,61.78
2022-05-21,Expense,Other,134.55
2022-05-22,Income,Rental Income,909.12
2022-05-22,Income,Salary,2799.07
2022-05-22,Expense,Health,66.68
2022-05-22,Expense,Transport,162.52
2022-05-22,Expense,Entertainment,251.78
2022-05-23,Income,Gifts,1361.22
2022-05-23,Expense,Health,274.51
2022-05-23,Expense,Subscriptions,73.21
2022-05-23,Expense,Transport,9.77
2022-05-23,Expense,Other,98.89
2022-05-24,Income,Freelance,2230.58
2022-05-24,Income,Gifts,2381.72
2022-05-24,Expense,Entertainment,158.04
2022-05-24,Expense,Subscriptions,155.5
2022-05-24,Expense,Utilities,33.93
2022-05-24,Expense,Entertainment,182.04
2022-05-25,Income,Investments,1239.06
2022-05-25,Income,Investments,925.48
2022-05-25,Expense,Transport,16.15
2022-05-25,Expense,Travel,11.85
